"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12-Mar",0,0,0,0,0,0,0.915460288524628,0,8.67585372924805,0,0,0,16.0656833648682,0,0,0,11.8782262802124,0,0,0,0,0,4.77166223526001,0,0,0,8.46004486083984,0,0.266180574893951,0,2.61733293533325,34.2029342651367,0,0
"13-Mar",2.20764183998108,8.71706390380859,0,0,17.5836067199707,0,0,0,11.4288759231567,0,0,0.850333452224731,9.44850444793701,0,0,0,0,0,13.5226707458496,0,1.48969328403473,6.93564128875732,0,0,0,0,0,0,0,0,0,32.042106628418,0,0
"14-Mar",0,0,0,0,-999,0.667976081371307,0,7.25080728530884,2.7423415184021,0,0,3.21573352813721,37.457275390625,0,0,0,18.4880352020264,0.311249971389771,0,0,0,0,8.48582553863525,0,0,6.70615768432617,0,0,0,0,4.01815843582153,23.0323295593262,0,0
"15-Mar",6.31519317626953,6.33433628082275,-999,0,9.35169792175293,0,7.21996593475342,9.20463848114014,0.284784615039825,0,0,0,37.9054565429688,1.85532414913177,0,0,11.5260009765625,0.405593574047089,5.12243556976318,0,6.07997560501099,0,0.292033582925797,0,0,3.48334240913391,0,0,30.048282623291,0,0,0,0,0
"16-Mar",9.24985790252686,7.23135852813721,-999,3.20127367973328,12.1460475921631,0,0,2.14015460014343,0,0,0,0.322265625,0,3.20085620880127,0.678423762321472,0,8.37428092956543,1.86521911621094,0,0,3.24979448318481,0,5.4151496887207,0,6.27932453155518,0,0,1.03682851791382,0,0,0,0,0,0
"17-Mar",0,0,0,2.1470947265625,1.66752028465271,1.50683605670929,3.61041688919067,0.367181897163391,0,0,0,0,0,1.29647254943848,0,-999,1.47463321685791,1.48057591915131,0,0,0,0,12.4382057189941,1.53263461589813,0.689175009727478,0,3.31995415687561,0,17.0261001586914,0,0.206573486328125,0,0,
"18-Mar",0,0,4.7029333114624,0,9.39963626861572,9.3340539932251,7.6118540763855,2.15978074073792,0,2.20435237884521,4.02165651321411,16.7762813568115,0,4.25127410888672,3.79878520965576,0,5.81920003890991,0,4.17525911331177,18.769437789917,0,0,0,9.41919326782227,2.19373083114624,0.677723050117493,0,0,0,2.69258189201355,9.07978057861328,0,0,
"19-Mar",2.35925698280334,0,1.3140721321106,0,5.85492658615112,0.347845435142517,17.3836975097656,1.64514636993408,0,0,0,8.70719909667969,0,5.0643949508667,8.62723731994629,0,0.275831937789917,0,4.77880859375,0,0,0,6.39811372756958,0,1.50424361228943,7.06413698196411,0,5.91656637191772,6.73635768890381,0,26.7514171600342,0,0,
"20-Mar",0,0,0,9.54647731781006,0,6.26505470275879,1.64150190353394,0,0,0,0,0,0,44.2207946777344,0,0,0,0,5.98864650726318,10.4030599594116,0,0,2.55325436592102,0,0,1.18618130683899,0,0.380943655967712,32.4570999145508,0,0,0,0,
"21-Mar",0,0,16.6143817901611,4.59457921981812,3.23210716247559,10.0922241210938,9.18199825286865,2.81226873397827,0,0,0,0,0,3.37644052505493,0,1.4864501953125,0,0,0,0,0.644393801689148,0,11.9078884124756,0,74.6544036865234,0,0,0,10.067193031311,0,20.4854907989502,0,0.816008567810059,
"22-Mar",0,0,9.02015018463135,1.82916915416718,0,0,0,1.72607600688934,0,0,0.27754619717598,3.4277241230011,0,0,0,2.61629009246826,0,0,0,2.1344518661499,7.87537527084351,0,1.37399482727051,1.82236266136169,0.648398637771606,0,1.63900506496429,2.1470947265625,10.0582227706909,0,19.5056018829346,0,0,
