"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"18-Mar",0,0.588214933872223,0,0.40869528055191,0,4.86470937728882,32.1150016784668,18.6742782592773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972906649112701,0,0,0,0,0,0,31.5388069152832,0,15.6211271286011,0,0,
"19-Mar",0,0,0,0,0,0.996333420276642,2.92613887786865,7.02706146240234,0,0,10.7610597610474,0,0,0,0,8.7690544128418,0,0.976772904396057,0,17.3361396789551,0,0,0,0,14.2551956176758,0.457347750663757,0,1.95510256290436,7.19398069381714,0,16.6756744384766,0,0,
"20-Mar",0,0,0,0,0,3.33075165748596,5.16327047348022,0,0,0,1.95254051685333,0,0,19.876277923584,0,25.8261585235596,0,0,0,20.2200393676758,0,0,1.95612406730652,0,0.304686933755875,0.79169362783432,0,13.1013402938843,0,0,2.94746446609497,0,0,
"21-Mar",0,0,0,7.88057899475098,0,64.3857574462891,9.12507247924805,7.00014495849609,0,0,0,0,0,2.9656286239624,0,84.2059631347656,0,0,0,0,0,0,6.82322120666504,0,0,2.96061158180237,0,0,0,0,14.6475114822388,0,0,
"22-Mar",0,0,2.982750415802,1.97830760478973,0,5.96092557907104,7.99755096435547,5.94189262390137,0,0,0,0,2.04902696609497,2.23370003700256,0,1.17078518867493,0,0,0,0,0,0,0.252309232950211,0,0,0.470389515161514,0,0,0,0,1.22633326053619,0,28.472354888916,
"23-Mar",0,0,17.8347244262695,0,0,0,0,29.2631778717041,0,0,0,0,11.6884927749634,22.0917434692383,0,6.82552433013916,3.89162659645081,0,5.10945749282837,3.89210915565491,25.6076354980469,0,4.87433481216431,0,0,0,0,0.882513999938965,0,0,0,4.31149101257324,20.8916473388672,
"24-Mar",0,0,2.98558378219604,0,0,7.03698110580444,4.90561103820801,2.05050706863403,0,16.5542869567871,0,32.1183738708496,0.418918401002884,0,13.6044101715088,3.92596483230591,0,0,16.0498580932617,0,0.978261172771454,0,0.405623465776443,0,1.01423728466034,10.9880228042603,0,37.3584365844727,0,0,0,36.2107467651367,0,
"25-Mar",0,0,42.00146484375,0,0,29.0202121734619,0,0,0,0,0,0,1.25607144832611,0,22.5030288696289,5.0886344909668,2.02547216415405,0,0.260920971632004,0,8.98497104644775,0,0,0.990767657756805,25.5289630889893,1.00473809242249,0,3.91871309280396,2.93713855743408,0,0,12.4452667236328,3.20638942718506,
"26-Mar",0,1.96184170246124,0.208154752850533,0,0,0,0,0,0,0,0,1.01313447952271,0,0,1.03584289550781,2.98989963531494,4.18516540527344,0,25.5091552734375,6.84568691253662,0.2961305975914,0.30645227432251,0,0,1.0200035572052,30.2592964172363,0,0,0,0,1.168612241745,0,0.39728844165802,
"27-Mar",26.4099159240723,1.9709165096283,-999,2.9339587688446,0,2.94386982917786,0,0,13.1575002670288,0,-999,8.85640525817871,0,32.1095199584961,0,0,0,0,22.5284271240234,1.94786977767944,0,37.0956115722656,0,0,0,2.404620885849,0.788990378379822,0,0,0,0,0,3.90322732925415,
"28-Mar",0,0,5.02364730834961,0,0,8.92382621765137,0.205117642879486,0.52614814043045,11.15149974823,0,0,6.83271837234497,0,0,0.972906649112701,6.26521444320679,0,0,6.86882972717285,0,0,0,0,0,4.89074802398682,40.3278427124023,25.5500469207764,3.12486743927002,0,0,3.10950398445129,0,2.09446811676025,
